source,fiscal_year,technology_raw,technology,capacity_addition_mw,capacity_addition_gw,retrieved_at_utc,source_url
MNRE year-wise achievement,2017-18,Waste to Energy (Off-grid),Bioenergy,5.55,0.0056,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Waste to Energy (Off-grid),Bioenergy,6.58,0.0066,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Waste to Energy (Off-grid),Bioenergy,19.11,0.0191,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Waste to Energy (Off-grid),Bioenergy,20.75,0.0208,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Waste to Energy (Off-grid),Bioenergy,34.66,0.0347,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Waste to Energy (Off-grid),Bioenergy,52.28,0.0523,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Waste to Energy (Off-grid),Bioenergy,30.17,0.0302,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Waste to Energy (Off-grid),Bioenergy,194.81,0.1948,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026-27-1st-apr-2026-31st-may2027,Waste to Energy (Off-grid),Bioenergy,1.04,0.001,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Waste to Energy (Off-grid),Bioenergy,554.16,0.5542,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Total,Total,35849.59,35.8496,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Total,Total,4100.5,4.1005,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Total,Total,7141.3,7.1413,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Total,Total,11466.81,11.4668,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Total,Total,12093.24,12.0932,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Total,Total,8760.56,8.7606,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Total,Total,8843.31,8.8433,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Total,Total,7548.11,7.5481,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Total,Total,14081.97,14.082,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Total,Total,15274.43,15.2744,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Total,Total,18484.68,18.4847,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Total,Total,28723.65,28.7237,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026-27-1st-apr-2026-31st-may2027,Total,Total,7498.99,7.499,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Total,Total,230780.41,230.7804,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
